,A2R Pref,Red Pref,Steps,Wall,Green,Red,Yellow,A2R,Reward
0,-20.0,-20.0,12.32,0.008,2.38,0.14,1.644,2.632,0.07756666646897793
1,-20.0,-15.0,12.16,0.012,2.464,0.236,1.6,2.504,0.08843635919690132
2,-20.0,-10.0,12.564,0.0,2.556,0.424,1.668,2.44,0.10555999554693699
3,-20.0,-5.0,12.596,0.004,2.476,0.784,1.696,2.076,0.13593333058804274
4,-20.0,0.0,13.252,0.0,2.468,1.008,1.712,1.936,0.17559999975562096
5,-20.0,5.0,13.592,0.012,2.552,1.072,1.696,1.928,0.13291110830008984
6,-20.0,10.0,13.916,0.004,2.524,1.164,1.72,1.836,0.1266399956792593
7,-20.0,15.0,14.376,0.012,2.54,1.204,1.724,1.796,0.1184181774109602
8,-20.0,20.0,14.66,0.008,2.524,1.176,1.732,1.824,0.10986666708439588
9,-15.0,-20.0,12.448,0.016,2.512,0.164,1.664,2.64,0.10018181497603655
10,-15.0,-15.0,12.06,0.016,2.436,0.164,1.596,2.636,0.10555999683588743
11,-15.0,-10.0,12.224,0.016,2.488,0.296,1.652,2.504,0.11855555395781994
12,-15.0,-5.0,12.268,0.016,2.512,0.504,1.6,2.296,0.1552000004053116
13,-15.0,0.0,13.076,0.008,2.524,0.86,1.708,2.076,0.18434285224974156
14,-15.0,5.0,13.516,0.004,2.584,1.08,1.76,1.92,0.16200000020116567
15,-15.0,10.0,13.844,0.008,2.536,1.244,1.732,1.756,0.14462221996486188
16,-15.0,15.0,13.952,0.004,2.548,1.16,1.712,1.84,0.1307199960798025
17,-15.0,20.0,14.284,0.004,2.64,1.16,1.712,1.84,0.12274545039236545
18,-10.0,-20.0,12.42,0.004,2.464,0.12,1.588,2.716,0.1273199959769845
19,-10.0,-15.0,12.376,0.008,2.516,0.156,1.604,2.648,0.1313999974578619
20,-10.0,-10.0,12.528,0.008,2.412,0.248,1.648,2.596,0.1594499995931983
21,-10.0,-5.0,12.324,0.008,2.516,0.492,1.656,2.348,0.1945428524762392
22,-10.0,0.0,12.684,0.008,2.54,0.776,1.68,2.112,0.2424666589871049
23,-10.0,5.0,13.076,0.012,2.548,1.116,1.696,1.884,0.18434285277873277
24,-10.0,10.0,13.456,0.024,2.54,1.16,1.664,1.84,0.1704999996125698
25,-10.0,15.0,13.936,0.012,2.536,1.232,1.772,1.768,0.1593555531129241
26,-10.0,20.0,14.28,0.024,2.588,1.216,1.676,1.784,0.13887999580800534
27,-5.0,-20.0,13.204,0.004,2.448,0.092,1.604,2.692,0.14839999820291996
28,-5.0,-15.0,12.888,0.036,2.512,0.084,1.628,2.712,0.1717749999463558
29,-5.0,-10.0,12.98,0.012,2.44,0.144,1.704,2.72,0.19939999535679817
30,-5.0,-5.0,12.284,0.012,2.508,0.336,1.62,2.444,0.24246665912121534
31,-5.0,0.0,12.152,0.0,2.492,0.576,1.644,2.26,0.29527999756485224
32,-5.0,5.0,12.98,0.008,2.488,0.936,1.696,2.064,0.2169666590988636
33,-5.0,10.0,13.548,0.016,2.56,1.2,1.724,1.8,0.1993999949172139
34,-5.0,15.0,13.96,0.004,2.596,1.22,1.76,1.78,0.17517499969899655
35,-5.0,20.0,14.04,0.024,2.548,1.2,1.66,1.8,0.15633333111554384
36,0.0,-20.0,13.568,0.016,2.456,0.092,1.62,2.76,0.18324999999254943
37,0.0,-15.0,13.5,0.008,2.388,0.092,1.584,2.768,0.21688570877164604
38,0.0,-10.0,12.968,0.004,2.484,0.112,1.616,2.768,0.25266665882617234
39,0.0,-5.0,12.52,0.008,2.468,0.232,1.608,2.548,0.3054799976721406
40,0.0,0.0,12.52,0.008,2.5,0.464,1.628,2.384,0.3898000058084726
41,0.0,5.0,12.56,0.0,2.54,0.852,1.704,2.148,0.28235999776422976
42,0.0,10.0,13.376,0.008,2.492,1.064,1.744,1.936,0.24019999253749846
43,0.0,15.0,13.5,0.004,2.564,1.152,1.708,1.848,0.21057142317295074
44,0.0,20.0,13.556,0.008,2.568,1.236,1.664,1.764,0.18070000001043082
45,5.0,-20.0,14.26,0.016,2.36,0.04,1.524,2.828,0.1646444418206811
46,5.0,-15.0,13.616,0.012,2.392,0.04,1.52,2.808,0.1947250014990568
47,5.0,-10.0,13.848,0.008,2.36,0.064,1.636,2.816,0.21445713856816292
48,5.0,-5.0,13.328,0.008,2.452,0.124,1.58,2.752,0.2685333272740245
49,5.0,0.0,12.352,0.012,2.416,0.248,1.604,2.568,0.3156799980029464
50,5.0,5.0,12.796,0.008,2.46,0.576,1.608,2.424,0.25153332749009133
51,5.0,10.0,12.968,0.004,2.604,0.916,1.684,2.084,0.21251428145170212
52,5.0,15.0,13.656,0.008,2.64,1.18,1.724,1.82,0.18622500022500754
53,5.0,20.0,14.016,0.0,2.612,1.172,1.704,1.828,0.16313333110511302
54,10.0,-20.0,14.148,0.004,2.412,0.032,1.524,2.844,0.1538399959653616
55,10.0,-15.0,14.12,0.012,2.408,0.012,1.484,2.872,0.16993333124369384
56,10.0,-10.0,14.348,0.012,2.4,0.02,1.54,2.872,0.19940000040084124
57,10.0,-5.0,14.548,0.004,2.44,0.032,1.516,2.86,0.22174285170435906
58,10.0,0.0,14.176,0.012,2.472,0.108,1.568,2.796,0.2628666582480073
59,10.0,5.0,13.848,0.008,2.412,0.276,1.652,2.724,0.22757142305374145
60,10.0,10.0,13.072,0.016,2.568,0.648,1.648,2.352,0.19770000030845403
61,10.0,15.0,13.224,0.004,2.504,1.024,1.696,1.976,0.16955555333942174
62,10.0,20.0,13.76,0.008,2.56,1.256,1.764,1.744,0.14771999590098858
63,15.0,-20.0,15.976,0.024,2.392,0.0,1.5,2.904,0.13047272356599568
64,15.0,-15.0,15.844,0.016,2.404,0.02,1.564,2.936,0.15009999556094408
65,15.0,-10.0,15.608,0.0,2.348,0.008,1.5,2.948,0.16275555331259967
66,15.0,-5.0,16.652,0.016,2.3,0.024,1.548,2.956,0.1909000003784895
67,15.0,0.0,16.352,0.024,2.372,0.044,1.576,2.928,0.22222856671363114
68,15.0,5.0,15.632,0.02,2.336,0.084,1.528,2.916,0.19854999979585408
69,15.0,10.0,14.588,0.024,2.548,0.332,1.58,2.668,0.17597777494043113
70,15.0,15.0,13.468,0.008,2.512,0.756,1.676,2.244,0.1599599950313568
71,15.0,20.0,13.748,0.012,2.544,1.184,1.704,1.816,0.13356363217532635
72,20.0,-20.0,17.024,0.016,2.28,0.012,1.46,2.932,0.10986666704714299
73,20.0,-15.0,17.376,0.004,2.376,0.008,1.5,2.948,0.12645454128831626
74,20.0,-10.0,17.464,0.056,2.316,0.008,1.536,2.988,0.14363999585807324
75,20.0,-5.0,18.312,0.02,2.308,0.004,1.48,2.98,0.16086666437983513
76,20.0,0.0,18.96,0.04,2.268,0.008,1.504,2.992,0.1883500000461936
77,20.0,5.0,18.376,0.016,2.2,0.004,1.468,2.996,0.16388888661563397
78,20.0,10.0,16.812,0.02,2.336,0.052,1.492,2.948,0.1504399959668517
79,20.0,15.0,14.816,0.008,2.36,0.356,1.572,2.644,0.14314545042067767
80,20.0,20.0,13.856,0.008,2.616,0.916,1.688,2.084,0.13253333281725646
